127.0.0.1 - - [20/Oct/2025:07:57:20 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:57:22 +0700] "GET /ABCNews/index.jsp HTTP/1.1" 200 8697
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:57:22 +0700] "GET /ABCNews/assets/js/sidebar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:57:22 +0700] "GET /ABCNews/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:57:22 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:57:23 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:57:24 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:57:34 +0700] "GET /ABCNews/NewsListServlet HTTP/1.1" 200 3962
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:57:34 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:57:34 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:57:41 +0700] "GET /ABCNews/NewsListServlet?cat=cat3 HTTP/1.1" 200 13741
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:57:41 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:57:41 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:57:43 +0700] "GET /ABCNews/NewsListServlet?cat=cat2 HTTP/1.1" 200 14189
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:57:43 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:57:43 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:57:45 +0700] "GET /ABCNews/NewsListServlet?cat=cat1 HTTP/1.1" 200 11039
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:57:45 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:57:45 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:58:06 +0700] "GET /ABCNews/ HTTP/1.1" 200 46505
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:58:06 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:58:07 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:58:47 +0700] "GET /ABCNews/NewsListServlet HTTP/1.1" 200 3962
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:58:47 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:58:47 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:58:48 +0700] "GET /ABCNews/login.jsp HTTP/1.1" 200 3289
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:58:48 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:58:49 +0700] "GET /ABCNews/NewsListServlet HTTP/1.1" 200 3962
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:58:49 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:58:50 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:58:50 +0700] "GET /ABCNews/login.jsp HTTP/1.1" 200 3289
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:58:50 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:58:51 +0700] "GET /ABCNews/ HTTP/1.1" 200 46505
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:58:51 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:58:51 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
